Ref,Old Error,GQL,Cause,Status
CYP-019,"Cannot use relationship type hint `$prettifiedHint` in this context: Must use relationship type `$relTypeName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the relationship types `$typePredicate1`, `$typePredicate2`, ... `$typePredicaten` were  found. Predicates must include the relationship type literal `$relTypeName`. That is, the function `$type()` is not compatible with indexes. Note that relationship type `$relTypeName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-020,"Cannot use join hint `$prettifiedHint` in this context: Must use relationship type `$relTypeName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but no relationship type was found. Predicates must include the relationship type literal `$relTypeName`. That is, the function `$type()` is not compatible with indexes. Note that relationship type `$relTypeName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-021,"Cannot use join hint `$prettifiedHint` in this context: Must use relationship type `$relTypeName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the relationship type `$typePredicate` was found. Predicates must include the relationship type literal `$relTypeName`. That is, the function `$type()` is not compatible with indexes. Note that relationship type `$relTypeName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-022,"Cannot use join hint `$prettifiedHint` in this context: Must use relationship type `$relTypeName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only the relationship types `$typePredicate1`, `$typePredicate2`, ... `$typePredicaten` were  found. Predicates must include the relationship type literal `$relTypeName`. That is, the function `$type()` is not compatible with indexes. Note that relationship type `$relTypeName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-023,"Cannot use index hint `$prettifiedHint` in this context: Must use the property `$missingPropertyName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but none was found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the property `$missingPropertyName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-024,"Cannot use index hint `$prettifiedHint` in this context: Must use the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but none was found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-025,"Cannot use index hint `$prettifiedHint` in this context: Must use the property `$missingPropertyName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only `$property` was found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the property `$missingPropertyName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-026,"Cannot use index hint `$prettifiedHint` in this context: Must use the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only `$property` was found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-027,"Cannot use index hint `$prettifiedHint` in this context: Must use the property `$missingPropertyName`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only `$property1`, $`property2`... `$propertyn` were found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the property `$missingPropertyName` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-028,"Cannot use index hint `$prettifiedHint` in this context: Must use the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen`, that the hint is referring to, on the node `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only `$property1`, $`property2`... `$propertyn` were found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen` must be specified on a non-optional node.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-029,"Cannot use index hint `$prettifiedHint` in this context: Must use the property `$missingPropertyName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but none was found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the property `$missingPropertyName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-030,"Cannot use index hint `$prettifiedHint` in this context: Must use the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but none was found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-031,"Cannot use index hint `$prettifiedHint` in this context: Must use the property `$missingPropertyName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only $`property` was found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the property `$missingPropertyName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-032,"Cannot use index hint `$prettifiedHint` in this context: Must use the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only $`property` was found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-033,"Cannot use index hint `$prettifiedHint` in this context: Must use the property `$missingPropertyName`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only `$property1`, $`property2`... `$propertyn` were found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the property `$missingPropertyName` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-034,"Cannot use index hint `$prettifiedHint` in this context: Must use the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen`, that the hint is referring to, on the relationship `$variable` either in the pattern or in supported predicates in `WHERE` (either directly or as part of a top-level `AND` or `OR`), but only `$property1`, $`property2`... `$propertyn` were found. Supported predicates are: equality comparison, inequality (range) comparison, `STARTS WITH`, `IN` condition or checking property existence. The comparison cannot be performed between two property values. Note that the properties  `$missingPropertyName1`, `$missingPropertyName2`, ... `$missingPropertyNamen` must be specified on a non-optional relationship.",42N76,42N77,Neo.ClientError.Statement.SyntaxError
CYP-035,Cannot use join hint for single node pattern.,42N76,,Neo.ClientError.Statement.SyntaxError
CYP-036,Can't create node `$variable` with labels or properies here. The variable is already declared in this context,42N78,,Neo.ClientError.Statement.SyntaxError
CYP-037,"Index type BTREE is no longer supported for USING index hint. Use TEXT, RANGE or POINT instead.",42001,42I52,Neo.ClientError.Statement.SyntaxError
CYP-039,"Shortest path fallback has been explicitly disabled. That means that no full path enumeration is performed incase shortest path algorithms cannot be used. This might happen in case of existential predicates on the path,e.g., when searching for the shortest path containing a node with property 'name=Emil'. The problem is thatgraph algorithms work only on universal predicates, e.g., when searching for the shortest where all nodes havelabel 'Person'. In case this is an unexpected error please either disable the runtime error in the Neo4jconfiguration or please improve your query by consulting the Neo4j manual.  In order to avoid planning theshortest path fallback a WITH clause can be introduced to separate the MATCH describing the shortest paths andthe existential predicates on the path; note though that in this case all shortest paths are computed beforestart filtering.",51N22,,Neo.DatabaseErrror.Statement.ExecutionFailed
CYP-040,"The shortest path algorithm does not work when the start and end nodes are the same. This can happen if youperform a shortestPath search after a cartesian product that might have the same start and end nodes for someof the rows passed to shortestPath. If you would rather not experience this exception, and can accept thepossibility of missing results for those rows, disable this in the Neo4j configuration by setting`dbms.cypher.forbid_shortestpath_common_nodes` to false. If you cannot accept missing results, and really want theshortestPath between two common nodes, then re-write the query using a standard Cypher variable length patternexpression followed by ordering by path length and limiting to one result.",51N23,,Neo.DatabaseErrror.Statement.ExecutionFailed
CYP-068,"Found no solution for block with size $blockSize,$blockCandidates were the selected candidates from the table $table",51N24,,Neo.DatabaseErrror.Statement.ExecutionFailed
CYP-069,"Unfortunately, the planner was unable to find a plan within the constraints provided.Try increasing the config values `internal.cypher.idp_solver_table_threshold`and `internal.cypher.idp_solver_duration_threshold` to allowfor a larger sub-plan table and longer planning time.",51N24,,Neo.DatabaseErrror.Statement.ExecutionFailed
CYP-084,"Unable to plan hash join. Insted, constructed\n$plan",42N76,,Neo.DatabaseErrror.Statement.ExecutionFailed
CYP-085,"Unable to execute procedure, because it requires an unrecognized execution mode: $mode",52N02,52N03,Neo.DatabaseError.Statement.ExecutionFailed
CYP-086,"Unable to execute procedure, because the signature has an unrecognized type:  $type",42001,42N52,Neo.ClientError.Statement.SyntaxError
CYP-087,Could not compile query due to insanely frequent schema changes,51N25,,Neo.DatabaseErrror.Statement.ExecutionFailed
CYR-004,"Option `$name` requires integer argument, got `$value`",22G03,22N01,Neo.ClientError.General.InvalidArguments
CYR-005,"Option `$name` requires positive integer argument, got `$value`",22003,22N02,Neo.ClientError.General.InvalidArguments
CYR-006,Merge did not find a matching node $node and can not create a new node due to conflicts with existing unique nodes,22G03,22N41,Neo.ClientError.Schema.ConstraintValidationFailed
CYR-007,Merge did not find a matching relationship $relationship and can not create a new relationship due to conflicts with existing unique relationships,22G03,22N42,Neo.ClientError.Schema.ConstraintValidationFailed
CYR-009,Unsupported options: $keys,22000,22N07,Neo.ClientError.Statement.ArgumentError
CYR-010,"Parallel runtime has been disabled, please enable it or upgrade to a bigger Aura instance.",22000,22N44,Neo.ClientError.Statement.ArgumentError
CYR-011,Cannot combine INTERPRETED PIPES FALLBACK '$interpretedPipesFallback' with RUNTIME '$runtime',22000,22N08,Neo.ClientError.Statement.ArgumentError
CYR-012,Cannot combine OPERATOR ENGINE '$operatorEngine' with RUNTIME '$runtime',22000,22N08,Neo.ClientError.Statement.ArgumentError
CYR-013,Cannot combine EXPRESSION ENGINE '$expressionEngine' with RUNTIME '$runtime',22000,22N08,Neo.ClientError.Statement.ArgumentError
CYR-014,Can't specify multiple conflicting values for $name,22000,22N09,Neo.ClientError.Statement.ArgumentError
CYR-015,$input is not a valid option for $name. Valid options are: $validOptions,22000,22N10,Neo.ClientError.Statement.ArgumentError
CYR-016,$javaIllegalArgumentException,22000,22N11,Neo.ClientError.Statement.ArgumentError
CYR-017,"Unknown normal form. Valid values are: NFC, NFD, NFKC, NFKD.",42001,42N49,Neo.ClientError.Statement.ArgumentError
CYR-019,Duplicate field '$field',22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-020,Failed to parse map value: '$text',22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-021,"Using a named time zone e.g. [UTC] is not valid for a time without a date. Instead, use a specific time zone string e.g. +00:00.",22007,22N13,Neo.ClientError.Statement.ArgumentError
CYR-022,Not a valid offset: $offset,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-023,Unsupported header field: $value,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-024,Cannot set timezone twice,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-025,Cannot assign $value to field $key,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-026,Cannot assign timezone twice.,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-027,$field cannot be selected together with datetime.,22007,22N14,Neo.ClientError.Statement.ArgumentError
CYR-028,$field cannot be selected together with epochMillis.,22007,22N14,Neo.ClientError.Statement.ArgumentError
CYR-029,$field cannot be selected together with epochSeconds.,22007,22N14,Neo.ClientError.Statement.ArgumentError
CYR-030,$field cannot be selected together with datetime or epochSeconds or epochMillis.,22007,22N14,Neo.ClientError.Statement.ArgumentError
CYR-031,$field cannot be selected together with date or time.,22007,22N14,Neo.ClientError.Statement.ArgumentError
CYR-032,No such field: $field,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-033,Builder state empty,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-034,Invalid value for Nanosecond: $nanosecond,22007,22N03,Neo.ClientError.Statement.ArgumentError
CYR-035,Invalid value for Microsecond: $microseconds,22007,22N03,Neo.ClientError.Statement.ArgumentError
CYR-036,Invalid value for Millisecond: $milliseconds,22007,22N03,Neo.ClientError.Statement.ArgumentError
CYR-037,$value cannot be specified without $firstNotAssigned,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-038,$value must be specified,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-039,cannot re-assign $field,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-040,Can only compute durations between TemporalValues.,22007,22N01,Neo.ClientError.Statement.ArgumentError
CYR-041,Duplicate field '$field' is not allowed.,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-042,Cannot assign $value to field $key,22007,22N12,Neo.ClientError.Statement.ArgumentError
CYR-043,Field: $fieldName is not available on point: $pointValue,22000,22N58,Neo.ClientError.Statement.ArgumentError
CYR-044,Field: $fieldName is not available on cartesian point: $pointValue,22000,22N58,Neo.ClientError.Statement.ArgumentError
CYR-045,Cannot create point with $crsDimensions coordinate reference system and $crsLength coordinates. Please consider using equivalent $crsLength coordinate reference system,22000,22N20,Neo.ClientError.Statement.ArgumentError
CYR-046,A $crs point must contain 'x' and 'y',22000,22N18,Neo.ClientError.Statement.ArgumentError
CYR-047,"A $crs point must contain 'x', 'y' and 'z'",22000,22N18,Neo.ClientError.Statement.ArgumentError
CYR-048,A $crs point must contain 'latitude' and 'longitude',22000,22N18,Neo.ClientError.Statement.ArgumentError
CYR-049,"A $crs point must contain 'latitude', 'longitude' and 'height'",22000,22N18,Neo.ClientError.Statement.ArgumentError
CYR-050,A point must contain either 'x' and 'y' or 'latitude' and 'longitude',22000,22N19,Neo.ClientError.Statement.ArgumentError
CYR-051,Geographic points does not support coordinate reference system: $csr.This is set either in the csv header or the actual data column,22000,22N21,Neo.ClientError.Statement.ArgumentError
CYR-052,Cannot specify both CRS and SRID,22000,22N22,Neo.ClientError.Statement.ArgumentError
CYR-053,"Cannot create WGS84 point with invalid coordinate: $coordinate. Valid range for Y coordinate is [-90, 90].",22000,22N23,Neo.ClientError.Statement.ArgumentError
CYR-054,Cannot create a point with non-finite coordinate values: $coordinates,22000,22N24,Neo.ClientError.Statement.ArgumentError
CYR-055,Cannot construct local time from: $temporal,22007,22N25,Neo.ClientError.Statement.ArgumentError
CYR-056,Cannot construct local date time from: $temporal,22007,22N25,Neo.ClientError.Statement.ArgumentError
CYR-057,Factor must be either integer of floating point number.,22G03,22N01,Neo.ClientError.Statement.ArgumentError
CYR-058,seconds out of range: $seconds,22003,22N03,Neo.ClientError.Statement.ArgumentError
CYR-059,minutes out of range: $minutes,22003,22N03,Neo.ClientError.Statement.ArgumentError
CYR-060,hours out of range: $hour,22003,22N03,Neo.ClientError.Statement.ArgumentError
CYR-061,days is out of range: $days,22003,22N03,Neo.ClientError.Statement.ArgumentError
CYR-062,months is out of range: $month,22003,22N03,Neo.ClientError.Statement.ArgumentError
CYR-063,Quarter 1 of $year only has $days days.,22003,22N03,Neo.ClientError.Statement.ArgumentError
CYR-064,Quarter 2 only has 91 days.,22003,22N03,Neo.ClientError.Statement.ArgumentError
CYR-065,Year $year does not contain $nbrWeeks weeks.,22003,22N03,Neo.ClientError.Statement.ArgumentError
CYR-066,Timezone and offset do not match: $matcherGroup,22003,22N04,Neo.ClientError.Statement.ArgumentError
CYR-067,Cannot construct date from: $temporal,22007,22N25,Neo.ClientError.Statement.ArgumentError
CYR-068,Cannot construct time from: $temporal,22007,22N25,Neo.ClientError.Statement.ArgumentError
CYR-069,Cannot construct date time from: $temporal,22007,22N25,Neo.ClientError.Statement.ArgumentError
CYR-070,Invalid nanosecond: $nanosecond,22007,22N03,Neo.ClientError.Statement.ArgumentError
CYR-071,"Cannot index a list using a value greater than $max or lesser than $min, got $actual",22G03,22N03,Neo.ClientError.Statement.ArgumentError
CYR-072,Step argument to 'range()' cannot be zero,22007,22N03,Neo.ClientError.Statement.ArgumentError
CYR-073,Precision argument to 'round()' cannot be negative,22007,22N03,Neo.ClientError.Statement.ArgumentError
CYR-074,"Unknown rounding mode. Valid values are: CEILING, FLOOR, UP, DOWN, HALF_EVEN, HALF_UP, HALF_DOWN, UNNECESSARY.",22000,22N26,Neo.ClientError.Statement.ArgumentError
CYR-075,Invalid input. '$count' is not a valid value. Must be a non-negative integer.,22007,22N03,Neo.ClientError.Statement.ArgumentError
CYR-076,"Invalid input '$value' is not a valid argument, must be a number in the range 0.0 to 1.0",22007,22N03,Neo.ClientError.Statement.ArgumentError
CYR-077,"The expression $entityExpr should have been a node or a relationship, but got $resolvedEntity",22G03,22N27,Neo.ClientError.Statement.ArgumentError
CYR-078,$prefix: Invalid input. '$n' is not a valid value.$suffix,22007,22N03,Neo.ClientError.Statement.ArgumentError
CYR-079,$DateTimeException,22007,22N11,Neo.ClientError.Statement.ArgumentError
CYR-080,$numberFormatException,22000,22N11,Neo.ClientError.Statement.ArgumentError
CYR-081,Can not divide duration $duration with $number without causing overflow.,22015,22N28,Neo.ClientError.Statement.ArgumentError
CYR-082,Can not multiply duration $duration with $number without causing overflow.,22015,22N28,Neo.ClientError.Statement.ArgumentError
CYR-083,Can not subtract duration $duration1 and $duration2 without causing overflow.,22015,22N28,Neo.ClientError.Statement.ArgumentError
CYR-084,Can not add duration $duration and $duration without causing overflow.,22015,22N28,Neo.ClientError.Statement.ArgumentError
CYR-085,"Invalid value for duration, will cause overflow. Value was $values",22015,22N28,Neo.ClientError.Statement.ArgumentError
CYR-086,Unknown coordinate reference system: $value,22000,22N21,Neo.ClientError.Statement.ArgumentError
CYR-087,Unknown coordinate reference system code: $code,22000,22N21,Neo.ClientError.Statement.ArgumentError
CYR-088,Unknown coordinate reference system: $tableId-$code,22000,22N21,Neo.ClientError.Statement.ArgumentError
CYR-089,At least one temporal unit must be specified.,22007,22N30,Neo.ClientError.Statement.ArgumentError
CYR-090,long overflow,22003,22N28,Neo.ClientError.Statement.ArithmeticError
CYR-091,"Integer overflow, cannot count to number larger than $Long.MaxValue",22003,,Neo.ClientError.Statement.ArithmeticError
CYR-092,/ by zero,22012,,Neo.ClientError.Statement.ArithmeticError
CYR-093,$wrappedError,22003,,Neo.ClientError.Statement.ArithmeticError
CYR-094,Couldn't load the external resource at: $url,22000,22N43,Neo.ClientError.Statement.ExternalResourceFailed
CYR-095,LOAD CSV failed to access resource. The request to $url was at some point redirected to from which it could not proceed. This may happen if $url redirects to a resource which uses a different protocol than the original request.,22000,22N43,Neo.ClientError.Statement.ExternalResourceFailed
CYR-096,Invalid URL '$url': $wrappedError,22000,22N43,Neo.ClientError.Statement.ExternalResourceFailed
CYR-097,Cannot load from URL '$url': $wrappedError,22000,22N43,Neo.ClientError.Statement.ExternalResourceFailed
CYR-098,Expected parameter(s): $parameters,42001,42N81,Neo.ClientError.Statement.ParameterMissing
CYR-099,Expected parameter(s): $passwordParameter,42001,42N81,Neo.ClientError.Statement.ParameterMissing
CYR-100,Expected a parameter named $parameter,42001,42N81,Neo.ClientError.Statement.ParameterMissing
CYR-101,This version of Neo4j does not support the requested runtime: `$runtime`,22000,51N27,Neo.ClientError.Statement.RuntimeUnsupportedError
CYR-102,The parallel runtime does not support updating queries. Please use another runtime,22000,22N46,Neo.ClientError.Statement.RuntimeUnsupportedError
CYR-103,The parallel runtime is not supported if there are changes in the transaction state. Use another runtime.,22000,22N46,Neo.ClientError.Statement.RuntimeUnsupportedError
CYR-104,There are no workers configured for the parallel runtime. Change 'server.cypher.parallel.worker_limit' to some larger value to use the parallel runtime.,22000,22N47,Neo.ClientError.Statement.RuntimeUnsupportedError
CYR-105,Cannot merge the following relationship because of $value property value for '$key': ($startVarPart)-[:$relTypeName {$key: $value}]->($endVarPart),22G03,22N31,Neo.ClientError.Statement.SemanticError
CYR-106,Cannot merge the following node because of NaN property value for '$key': ($labelsString {$key: NaN}),22G03,22N31,Neo.ClientError.Statement.SemanticError
CYR-107,Cannot merge the following node because of null property value for '$key': ($labelsString {$key: null}),22G03,22N31,Neo.ClientError.Statement.SemanticError
CYR-108,Can't mix PROFILE and EXPLAIN,22000,22N52,Neo.ClientError.Statement.SemanticError
CYR-109,Invalid Regex: $wrappedError ,22000,22N11,Neo.ClientError.Statement.SemanticError
CYR-110,"ORDER BY expressions must be deterministic. For instance, you cannot use the rand() function in the expression",22000,22N32,Neo.ClientError.Statement.SemanticError
CYR-111,"To find a shortest path, both ends of the path need to be provided. Couldn't find `$start`",22000,22N33,Neo.ClientError.Statement.SyntaxError
CYR-112,Can't use aggregate functions inside of aggregate functions.,22000,22N34,Neo.ClientError.Statement.SyntaxError
CYR-113,Can't use non-deterministic (random) functions inside of aggregate functions.,22000,22N34,Neo.ClientError.Statement.SyntaxError
CYR-118,"Text cannot be parsed to a Date. Hint, year+month needs to have two digits for month (e.g. 2015-02) and ordinal dates three digits (e.g. 2015-032).",22007,22N35,Neo.ClientError.Statement.SyntaxError
CYR-119,$wrappedError,22000,22N11,Neo.ClientError.Statement.SyntaxError
CYR-120,$wrappedError,22000,22N11,Neo.ClientError.Statement.SyntaxError
CYR-121,$wrappedError,22000,22N11,Neo.ClientError.Statement.SyntaxError
CYR-122,Invalid value for TimeZone: $wrappedError,22000,22N11,Neo.ClientError.Statement.SyntaxError
CYR-123,Text cannot be parsed to a $typeName,22007,22N36,Neo.ClientError.Statement.SyntaxError
CYR-124,Expected to find a node but found $value instead,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-125,Expected to find a relationship but found $value instead,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-126,Expected to find a node at '$variable' but found $value instead,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-127,Expected to find a node at ref slot $offset but found $value instead,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-128,Expected to find a node at long slot $offset but found $value instead,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-129,Expected to find a relationship at ref slot $offset but found $value instead,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-130,Expected to find a relationship at long slot $offset but found $value instead,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-132,Expected a node or relationship when checking types or labels.,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-133,Can't coerce to $type,22G03,22N37,Neo.ClientError.Statment.TypeError
CYR-134,Can't coerce to type $type,22G03,22N37,Neo.ClientError.Statment.TypeError
CYR-135,Can't coerce `$value` to `$type`,22G03,22N37,Neo.ClientError.Statment.TypeError
CYR-136,Wrong argument type: Can't coerce to $cypherType ($cypherTypeClass),22G03,22N37,Neo.ClientError.Statment.TypeError
CYR-137,Don't know how to treat a predicate: $value,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-138,Don't know how to treat that as a predicate: $value,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-140,Type mismatch: expected a node but was $other,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-141,Type mismatch: expected a relationship but was $other,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-142,Type mismatch: expected a node but was $other of type $otherType,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-143,"Expected a numeric value for $param, but got null",22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-144,Expected a numeric value for $param but got: $value,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-145,Expected ListValue but got $x,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-146,Expected RelationshipValue but got $type,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-147,Type mismatch: expected a map but was $type,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-148,$startName is not a node,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-149,"Parameter provided for node creation is not a Map, instead got $value",22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-150,$value is not a boolean value,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-153,"Expected a collection, got `$value`",22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-154,"Expected $value to be a Node or Relationship, but it was a $type",22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-155,"Expected a Node, Relationship or Path, but got a $type",22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-156,"Expected a Node or Relationship, but got a $type",22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-157,"Expected list, got $value",22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-158,"Expected the value for $inner to be a collection, but it was not.",22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-159,Created a plan that uses non-nodes when expecting a node,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-160,Expected NodeValue but got $type,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-161,"Expected $expression to be a map, but it was : `$value`",22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-162,Expected a node at `$rowName` but got $value,22G03,22N27,Neo.ClientError.Statment.TypeError
CYR-163,"$name($value) can only handle numerical values or null, but recieved: $type",22N38,22N01,Neo.ClientError.Statment.TypeError
CYR-164,"$name($value) can only handle numerical values, duration, or null.",22N38,22N01,Neo.ClientError.Statment.TypeError
CYR-165,$name($value) cannot mix number and duration.,22N38,22N01,Neo.ClientError.Statment.TypeError
CYR-166,avg() cannot mix number and duration,22N38,22N01,Neo.ClientError.Statment.TypeError
CYR-167,"avg() can only handle numerical values, duration, and null. Got $value",22N38,22N01,Neo.ClientError.Statment.TypeError
CYR-168,"stdev()/stdevp() can only handle numerical values, duration, and null. Got $value",22N38,22N01,Neo.ClientError.Statment.TypeError
CYR-169,sum() cannot mix number and duration,22N38,22N01,Neo.ClientError.Statment.TypeError
CYR-170,"sum() can only handle numerical values, duration, and null. Got $value",22N38,22N01,Neo.ClientError.Statment.TypeError
CYR-171,Expected node but got $type,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-172,Expected relationship but got $type,22G03,22N01,Neo.ClientError.Statment.TypeError
CYR-173,Expected path but got $type,22G03,22N01,Neo.ClientError.Statment.TypeError
